MUI.CreateTextH2|MUI.CreateTextH2({CURSOR})|h2 title text
app.Error|app.Error({CURSOR})|Show an error in the error console
app.Alert|app.Alert({CURSOR})|Shows a popup alert dialog
app.Confirm|app.Confirm({CURSOR})|Show a popup confirmation dialog
app.Toast|app.Toast({CURSOR})|Show a toast notification
app.Popup|app.Popup({CURSOR})|Show a popup dialog
app.Debug|app.Debug({CURSOR})|Write to the DroidScript log
app.Log|app.Log({CURSOR})|Write to the console log
app.SystemLog|app.SystemLog({CURSOR})|Write to the system log
app.Verbose|app.Verbose({CURSOR})|Write verbose to the DroidScript log
app.Warn|app.Warn({CURSOR})|Write a warning to the DroidScript log
app.AddDrawer|app.AddDrawer({CURSOR})|Add a drawer
app.AddLayout|app.AddLayout({CURSOR})|Add a layout
app.AddView|app.AddView({CURSOR})|Add a view to the main layout
app.Back|app.Back({CURSOR})|Go back
app.Exit|app.Exit({CURSOR})|Exit the app
app.Minimize|app.Minimize({CURSOR})|Minimize the app
app.Quit|app.Quit({CURSOR})|Close/quit the DroidScript app
app.Restart|app.Restart({CURSOR})|Restart the app
app.Resume|app.Resume({CURSOR})|Resume the app from suspended
app.Vibrate|app.Vibrate({CURSOR})|Vibrate the device
app.Kill|app.Kill({CURSOR})|Kill the app
app.GetState|app.GetState()|Get current app state
app.IsState|app.IsState()|Check if app is in given state
app.IsActive|app.IsActive()|Check if activity is active
app.SetFlag|app.SetFlag({CURSOR})|Set a flag for the activity
app.SetTheme|app.SetTheme({CURSOR})|Set the theme
app.SetWallpaper|app.SetWallpaper({CURSOR})|Set wallpaper
app.SetScreenMode|app.SetScreenMode({CURSOR})|Set screen mode
app.GetScreenMode|app.GetScreenMode()|Get current screen mode
app.SetOnScreenMode|app.SetOnScreenMode({CURSOR})|Set callback for screen mode change
app.SetOnMenu|app.SetOnMenu({CURSOR})|Set menu callback
app.SetOnBack|app.SetOnBack({CURSOR})|Set callback for back button
app.SetOnPause|app.SetOnPause({CURSOR})|Set onPause callback
app.SetOnResume|app.SetOnResume({CURSOR})|Set onResume callback
app.SetOnOrientation|app.SetOnOrientation({CURSOR})|Set callback for orientation change
app.SetOnScreenshot|app.SetOnScreenshot({CURSOR})|Set callback for screenshot
app.SetDisableScreenTimeout|app.SetDisableScreenTimeout({CURSOR})|Disable screen timeout
app.SetKeepAwake|app.SetKeepAwake({CURSOR})|Keep device awake
app.SetOnKey|app.SetOnKey({CURSOR})|Set callback for key events
app.SetOnPermission|app.SetOnPermission({CURSOR})|Set callback for permission result
app.RequestPermission|app.RequestPermission({CURSOR})|Request Android permission
app.CheckPermission|app.CheckPermission({CURSOR})|Check if permission is granted
app.CheckPermissions|app.CheckPermissions({CURSOR})|Check multiple permissions
app.HasPermission|app.HasPermission()|Check permission on M+
app.RequestPermissions|app.RequestPermissions({CURSOR})|Request multiple Android permissions
app.GetPlatform|app.GetPlatform()|Get platform name
app.GetOSVersion|app.GetOSVersion()|Get OS version
app.GetSDKVersion|app.GetSDKVersion()|Get SDK version
app.GetDeviceId|app.GetDeviceId()|Get device ID
app.GetDeviceName|app.GetDeviceName()|Get device name
app.GetModel|app.GetModel()|Get device model
app.GetManufacturer|app.GetManufacturer()|Get device manufacturer
app.GetScreenWidth|app.GetScreenWidth()|Get screen width
app.GetScreenHeight|app.GetScreenHeight()|Get screen height
app.GetScreenScale|app.GetScreenScale()|Get screen scale
app.GetStatusBarHeight|app.GetStatusBarHeight()|Get status bar height
app.GetNavigationBarHeight|app.GetNavigationBarHeight()|Get navigation bar height
app.GetDisplayWidth|app.GetDisplayWidth()|Get display width
app.GetDisplayHeight|app.GetDisplayHeight()|Get display height
app.GetOrientation|app.GetOrientation()|Get orientation
app.SetOrientation|app.SetOrientation({CURSOR})|Set screen orientation
app.LockOrientation|app.LockOrientation({CURSOR})|Lock screen orientation
app.UnlockOrientation|app.UnlockOrientation({CURSOR})|Unlock screen orientation
app.SetScreenSize|app.SetScreenSize({CURSOR})|Set screen size
app.SetActionBar|app.SetActionBar({CURSOR})|Set action bar visibility
app.SetNavBar|app.SetNavBar({CURSOR})|Set navbar visibility
app.SetFullScreen|app.SetFullScreen({CURSOR})|Set fullscreen mode
app.SetStatusBar|app.SetStatusBar({CURSOR})|Set status bar
app.SetStatusBarColor|app.SetStatusBarColor({CURSOR})|Set status bar color
app.SetNavigationBarColor|app.SetNavigationBarColor({CURSOR})|Set navigation bar color
app.SetTitle|app.SetTitle({CURSOR})|Set the window title
app.SetMenu|app.SetMenu({CURSOR})|Set the action bar menu
app.SetMenuSize|app.SetMenuSize({CURSOR})|Set action bar size
app.SetOnAction|app.SetOnAction({CURSOR})|Set callback for action bar
app.SetOnMenuPrepare|app.SetOnMenuPrepare({CURSOR})|Set callback for menu prepare
app.CreateLayout|app.CreateLayout({CURSOR})|Creates a new layout object
app.CreateText|app.CreateText({CURSOR})|Creates a new text object
app.CreateTextEdit|app.CreateTextEdit({CURSOR})|Creates a new text edit object
app.CreateButton|app.CreateButton({CURSOR})|Creates a new button object
app.CreateImage|app.CreateImage({CURSOR})|Creates a new image object
app.CreateList|app.CreateList({CURSOR})|Creates a new list object
app.CreateDropDown|app.CreateDropDown({CURSOR})|Creates a new dropdown object
app.CreateWebView|app.CreateWebView({CURSOR})|Creates a new webview object
app.CreateVideo|app.CreateVideo({CURSOR})|Creates a new video object
app.CreateCamera|app.CreateCamera({CURSOR})|Creates a new camera object
app.CreateProgress|app.CreateProgress({CURSOR})|Creates a new progress bar
app.CreateSlider|app.CreateSlider({CURSOR})|Creates a new slider object
app.CreateSwitch|app.CreateSwitch({CURSOR})|Creates a new switch/toggle object
app.CreateCheckBox|app.CreateCheckBox({CURSOR})|Creates a new checkbox object
app.CreateRadioButton|app.CreateRadioButton({CURSOR})|Creates a new radio button object
app.CreateTabLayout|app.CreateTabLayout({CURSOR})|Creates a new tab layout
app.CreateScrollView|app.CreateScrollView({CURSOR})|Creates a new scroll view
app.CreateTimer|app.CreateTimer({CURSOR})|Creates a new timer
app.CreatePanel|app.CreatePanel({CURSOR})|Creates a new panel/container
app.CreateDialog|app.CreateDialog({CURSOR})|Creates a new dialog
app.CreateDatePicker|app.CreateDatePicker({CURSOR})|Creates a date picker dialog
app.CreateTimePicker|app.CreateTimePicker({CURSOR})|Creates a time picker dialog
app.CreateNumberPicker|app.CreateNumberPicker({CURSOR})|Creates a number picker
app.CreateColorPicker|app.CreateColorPicker({CURSOR})|Creates a color picker dialog
app.CreateFilePicker|app.CreateFilePicker({CURSOR})|Creates a file picker dialog
app.CreateFolderPicker|app.CreateFolderPicker({CURSOR})|Creates a folder picker dialog
app.CreateAd|app.CreateAd({CURSOR})|Creates an ad object
app.CreateBanner|app.CreateBanner({CURSOR})|Create a banner ad
app.CreateInterstitial|app.CreateInterstitial({CURSOR})|Create an interstitial ad
app.CreateRewardedVideo|app.CreateRewardedVideo({CURSOR})|Create a rewarded video ad
app.CreateRewardedInterstitial|app.CreateRewardedInterstitial({CURSOR})|Create a rewarded interstitial ad
app.CreateFloat|app.CreateFloat({CURSOR})|Creates a floating/headless object
app.CreateSurface|app.CreateSurface({CURSOR})|Creates a surface
app.CreateCanvas|app.CreateCanvas({CURSOR})|Creates a canvas
app.CreateGLView|app.CreateGLView({CURSOR})|Creates a GL view
app.CreateGameView|app.CreateGameView({CURSOR})|Creates a game view
app.CreateSprite|app.CreateSprite({CURSOR})|Creates a sprite object
app.CreateTween|app.CreateTween({CURSOR})|Creates a tween object
app.CreateAni|app.CreateAni({CURSOR})|Creates an animation object
app.CreateSocket|app.CreateSocket({CURSOR})|Creates a socket object
app.CreateHttpRequest|app.CreateHttpRequest({CURSOR})|Creates an HTTP request
app.CreateBarcodeScanner|app.CreateBarcodeScanner({CURSOR})|Creates a barcode scanner
app.CreateNFC|app.CreateNFC({CURSOR})|Creates an NFC object
app.CreateBluetooth|app.CreateBluetooth({CURSOR})|Creates a Bluetooth object
app.CreateBluetoothLowEnergy|app.CreateBluetoothLowEnergy({CURSOR})|Creates a BLE object
app.CreateLocation|app.CreateLocation({CURSOR})|Creates a location object
app.CreateSpeechRec|app.CreateSpeechRec({CURSOR})|Creates a speech recognition object
app.CreateTTS|app.CreateTTS({CURSOR})|Creates a text-to-speech object
app.CreateMediaPlayer|app.CreateMediaPlayer({CURSOR})|Creates a media player
app.CreateMediaRec|app.CreateMediaRec({CURSOR})|Creates a media recorder
app.CreateVideoPlayer|app.CreateVideoPlayer({CURSOR})|Creates a video player
app.CreateImageAni|app.CreateImageAni({CURSOR})|Creates an image animation
app.CreateNotification|app.CreateNotification({CURSOR})|Creates a notification
app.CreateNotif|app.CreateNotif({CURSOR})|Creates a notification
app.CreateZip|app.CreateZip({CURSOR})|Creates a zip object
app.CreateDB|app.CreateDB({CURSOR})|Creates a database object
app.CreateSQL|app.CreateSQL({CURSOR})|Creates a SQL object
app.CreateFile|app.CreateFile({CURSOR})|Creates a file object
app.CreateFolder|app.CreateFolder({CURSOR})|Creates a folder object
app.CreateLoad|app.CreateLoad({CURSOR})|Creates a loading spinner
app.CreateLoading|app.CreateLoading({CURSOR})|Creates a loading indicator
app.CreateProcess|app.CreateProcess({CURSOR})|Creates a process object
app.CreateService|app.CreateService({CURSOR})|Creates a background service
app.CreateWorker|app.CreateWorker({CURSOR})|Creates a worker thread
app.CreateSMS|app.CreateSMS({CURSOR})|Creates an SMS object
app.CreateEmail|app.CreateEmail({CURSOR})|Creates an email object
app.CreateContact|app.CreateContact({CURSOR})|Creates a contact object
app.CreateSocial|app.CreateSocial({CURSOR})|Creates a social share object
app.CreateInAppBilling|app.CreateInAppBilling({CURSOR})|Creates an in-app billing object
app.CreateInApp|app.CreateInApp({CURSOR})|Creates an in-app purchase object
app.CreatePurchase|app.CreatePurchase({CURSOR})|Creates a purchase object
app.CreateStore|app.CreateStore({CURSOR})|Creates a store object
app.CreateCloud|app.CreateCloud({CURSOR})|Creates a cloud object
app.CreateCloudDB|app.CreateCloudDB({CURSOR})|Creates a cloud database
app.CreatePush|app.CreatePush({CURSOR})|Creates a push notification object
app.CreateAnalytics|app.CreateAnalytics({CURSOR})|Creates an analytics object
app.CreateCrash|app.CreateCrash({CURSOR})|Creates a crash reporter
app.CreateRemoteConfig|app.CreateRemoteConfig({CURSOR})|Creates a remote config object
app.CreateAuth|app.CreateAuth({CURSOR})|Creates an auth object
app.CreateStorage|app.CreateStorage({CURSOR})|Creates a storage object
app.CreateFunctions|app.CreateFunctions({CURSOR})|Creates a cloud functions object
app.CreateMLKit|app.CreateMLKit({CURSOR})|Creates a ML Kit object
app.CreateVision|app.CreateVision({CURSOR})|Creates a vision object
app.CreateOCR|app.CreateOCR({CURSOR})|Creates an OCR object
app.CreateBarcode|app.CreateBarcode({CURSOR})|Creates a barcode object
app.CreateFace|app.CreateFace({CURSOR})|Creates a face detection object
app.CreateTextRec|app.CreateTextRec({CURSOR})|Creates a text recognition object
app.CreateImageLabel|app.CreateImageLabel({CURSOR})|Creates an image labeling object
app.CreatePose|app.CreatePose({CURSOR})|Creates a pose detection object
app.CreateSelfie|app.CreateSelfie({CURSOR})|Creates a selfie segmentation object
app.CreateTranslator|app.CreateTranslator({CURSOR})|Creates a translator object
app.CreateModel|app.CreateModel({CURSOR})|Creates a model object
app.CreateAutoML|app.CreateAutoML({CURSOR})|Creates an AutoML object
app.CreateCustomModel|app.CreateCustomModel({CURSOR})|Creates a custom model object
app.CreateAR|app.CreateAR({CURSOR})|Creates an AR object
app.CreateScene|app.CreateScene({CURSOR})|Creates a 3D scene
app.CreateModel3D|app.CreateModel3D({CURSOR})|Creates a 3D model
app.CreateMaterial|app.CreateMaterial({CURSOR})|Creates a material
app.CreateLight|app.CreateLight({CURSOR})|Creates a light
app.CreateCamera3D|app.CreateCamera3D({CURSOR})|Creates a 3D camera
app.CreateAnimator|app.CreateAnimator({CURSOR})|Creates an animator
app.CreateParticle|app.CreateParticle({CURSOR})|Creates a particle system
app.CreatePhysics|app.CreatePhysics({CURSOR})|Creates a physics world
app.CreateBody|app.CreateBody({CURSOR})|Creates a physics body
app.CreateJoint|app.CreateJoint({CURSOR})|Creates a physics joint
app.CreateConstraint|app.CreateConstraint({CURSOR})|Creates a physics constraint
app.CreateShape|app.CreateShape({CURSOR})|Creates a physics shape
app.CreateBoxShape|app.CreateBoxShape({CURSOR})|Creates a box shape
app.CreateSphereShape|app.CreateSphereShape({CURSOR})|Creates a sphere shape
app.CreateCylinderShape|app.CreateCylinderShape({CURSOR})|Creates a cylinder shape
app.CreateCapsuleShape|app.CreateCapsuleShape({CURSOR})|Creates a capsule shape
app.CreateConeShape|app.CreateConeShape({CURSOR})|Creates a cone shape
app.CreateMeshShape|app.CreateMeshShape({CURSOR})|Creates a mesh shape
app.CreateHeightfieldShape|app.CreateHeightfieldShape({CURSOR})|Creates a heightfield shape
app.CreateCompoundShape|app.CreateCompoundShape({CURSOR})|Creates a compound shape
app.CreatePlaneShape|app.CreatePlaneShape({CURSOR})|Creates a plane shape
app.CreateStaticBody|app.CreateStaticBody({CURSOR})|Creates a static body
app.CreateDynamicBody|app.CreateDynamicBody({CURSOR})|Creates a dynamic body
app.CreateKinematicBody|app.CreateKinematicBody({CURSOR})|Creates a kinematic body
app.CreateTrigger|app.CreateTrigger({CURSOR})|Creates a trigger volume
app.CreateRay|app.CreateRay({CURSOR})|Creates a raycast object
app.CreateVehicle|app.CreateVehicle({CURSOR})|Creates a vehicle
app.CreateWheel|app.CreateWheel({CURSOR})|Creates a vehicle wheel
app.CreateCharacter|app.CreateCharacter({CURSOR})|Creates a character controller
app.CreateSoftBody|app.CreateSoftBody({CURSOR})|Creates a soft body
app.CreateCloth|app.CreateCloth({CURSOR})|Creates a cloth simulation
app.CreateRope|app.CreateRope({CURSOR})|Creates a rope simulation
app.CreateFluid|app.CreateFluid({CURSOR})|Creates a fluid simulation
app.CreateUI|app.CreateUI({CURSOR})|Creates a UI element
app.CreateCanvas2D|app.CreateCanvas2D({CURSOR})|Creates a 2D canvas
app.CreateGrid|app.CreateGrid({CURSOR})|Creates a grid layout
app.CreateCard|app.CreateCard({CURSOR})|Creates a card layout
app.CreateChip|app.CreateChip({CURSOR})|Creates a chip/tag
app.CreateAvatar|app.CreateAvatar({CURSOR})|Creates an avatar image
app.CreateBadge|app.CreateBadge({CURSOR})|Creates a badge
app.CreateDivider|app.CreateDivider({CURSOR})|Creates a divider line
app.CreateMenu|app.CreateMenu({CURSOR})|Creates a menu
app.CreateToolbar|app.CreateToolbar({CURSOR})|Creates a toolbar
app.CreateBottomBar|app.CreateBottomBar({CURSOR})|Creates a bottom navigation bar
app.CreateTopBar|app.CreateTopBar({CURSOR})|Creates a top bar
app.CreateNavDrawer|app.CreateNavDrawer({CURSOR})|Creates a navigation drawer
app.CreateFab|app.CreateFab({CURSOR})|Creates a floating action button
app.CreateSnackbar|app.CreateSnackbar({CURSOR})|Creates a snackbar
app.CreateStepper|app.CreateStepper({CURSOR})|Creates a stepper
app.CreateRating|app.CreateRating({CURSOR})|Creates a rating bar
app.CreateSeek|app.CreateSeek({CURSOR})|Creates a seek bar
app.CreatePicker|app.CreatePicker({CURSOR})|Creates a picker
app.CreateOTP|app.CreateOTP({CURSOR})|Creates an OTP input
app.CreatePin|app.CreatePin({CURSOR})|Creates a PIN input
app.CreatePass|app.CreatePass({CURSOR})|Creates a password input
app.CreateSearch|app.CreateSearch({CURSOR})|Creates a search bar
app.CreateSignature|app.CreateSignature({CURSOR})|Creates a signature pad
app.CreateDrawing|app.CreateDrawing({CURSOR})|Creates a drawing pad
